43934|Harbor Jim of Newfoundland|2013-10-11|http://www.gutenberg.org/ebooks/43934
39267|The Power Of The Popes An Historical Essay on Their Temporal Dominion, and the Abuse of Their Spiritual Authority|2012-03-12|http://www.gutenberg.org/ebooks/39267
27404|Where the Strange Trails Go Down Sulu, Borneo, Celebes, Bali, Java, Sumatra, Straits Settlements, Malay States, Siam, Cambodia, Annam, Cochin-China|2008-12-04|http://www.gutenberg.org/ebooks/27404
3860|Memoirs of Louis XIV and His Court and of the Regency — Volume 01|2004-12-03|http://www.gutenberg.org/ebooks/3860
6027|In the Closed Room|2004-07-01|http://www.gutenberg.org/ebooks/6027
49870|The Silence of Colonel Bramble|2015-09-03|http://www.gutenberg.org/ebooks/49870
37475|Peeps at Many Lands: Turkey|2011-09-19|http://www.gutenberg.org/ebooks/37475
21373|Syd Belton: The Boy Who Would Not Go to Sea|2007-05-08|http://www.gutenberg.org/ebooks/21373
19171|The Moving Picture Girls; Or, First Appearances in Photo Dramas|2006-09-04|http://www.gutenberg.org/ebooks/19171
19518|Siouan Sociology|2006-10-10|http://www.gutenberg.org/ebooks/19518
43411|Life of Mozart, Vol. 1 (of 3)|2013-08-07|http://www.gutenberg.org/ebooks/43411
368|Acres of Diamonds: Our Every-day Opportunities|2008-06-29|http://www.gutenberg.org/ebooks/368
18747|Transactions of the American Society of Civil Engineers, Vol. LXX, Dec. 1910 Locomotive Performance On Grades Of Various Lengths, Paper No. 1172|2006-07-03|http://www.gutenberg.org/ebooks/18747
5124|Henrietta's Wish; Or, Domineering|2004-02-01|http://www.gutenberg.org/ebooks/5124
44913|The Life of the Moselle From its source in the Vosges Mountains to its junction with the Rhine at Coblence|2014-02-14|http://www.gutenberg.org/ebooks/44913
36014|Notes on Old Edinburgh|2011-05-02|http://www.gutenberg.org/ebooks/36014
27966|The Dop Doctor|2009-02-02|http://www.gutenberg.org/ebooks/27966
39741|In My Nursery|2012-05-20|http://www.gutenberg.org/ebooks/39741
31151|The English Novel in the Time of Shakespeare|2010-02-01|http://www.gutenberg.org/ebooks/31151
20317|A Treatise on Staff Making and Pivoting Containing Complete Directions for Making and Fitting New Staffs from the Raw Material|2007-01-08|http://www.gutenberg.org/ebooks/20317
35964|The Go Ahead Boys and the Mysterious Old House|2011-04-25|http://www.gutenberg.org/ebooks/35964
6849|The Prince of India; Or, Why Constantinople Fell — Volume 02|2004-11-01|http://www.gutenberg.org/ebooks/6849
48208|Convict Life at the Minnesota State Prison, Stillwater, Minnesota|2015-02-08|http://www.gutenberg.org/ebooks/48208
33285|Her Royal Highness Woman|2010-07-28|http://www.gutenberg.org/ebooks/33285
39438|Notes and Queries, Vol. IV, Number 112, December 20, 1851 A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.|2012-04-13|http://www.gutenberg.org/ebooks/39438
16410|The Life-Story of Insects|2005-08-01|http://www.gutenberg.org/ebooks/16410
39808|Wit and Wisdom of Lord Tredegar|2012-05-26|http://www.gutenberg.org/ebooks/39808
41339|Mount Royal: A Novel. Volume 1 of 3|2012-11-10|http://www.gutenberg.org/ebooks/41339
11515|The Mirror of Literature, Amusement, and Instruction Volume 19, No. 532, February 4, 1832|2004-03-01|http://www.gutenberg.org/ebooks/11515
31898|The Bright Shawl|2010-04-06|http://www.gutenberg.org/ebooks/31898
35783|Mornings at Bow Street A Selection of the Most Humorous and Entertaining Reports which Have Appeared in the 'Morning Herald'|2011-04-07|http://www.gutenberg.org/ebooks/35783
8472|Life on the Mississippi, Part 2.|2004-07-09|http://www.gutenberg.org/ebooks/8472
25468|Faustus his Life, Death, and Doom|2008-05-14|http://www.gutenberg.org/ebooks/25468
47274|History of Company K. 1st (Inft,) Penn'a Reserves|2014-11-03|http://www.gutenberg.org/ebooks/47274
13556|Behind the Line: A Story of College Life and Football|2004-09-30|http://www.gutenberg.org/ebooks/13556
18814|The Mercenaries|2006-07-12|http://www.gutenberg.org/ebooks/18814
25795|Lord Kitchener|2008-06-15|http://www.gutenberg.org/ebooks/25795
